Serial_number:,,,,
1024481,,,,
Project ID:,,,,
CWS_2014,,,,
Location:,,,,
NFY,,,,
Level,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
Altitude: 715.000000 m,,,,
Temperature,,,,
UNIT: Deg C,,,,
Date,Time,ms,Level,Temperature
5/22/15,14:00:00,0,-8.6834,0
5/22/15,14:15:00,0,-8.2928,0
5/22/15,14:30:00,0,-8.2914,0
5/22/15,14:45:00,0,-8.2901,0
5/22/15,15:00:00,0,-8.2955,0
5/22/15,15:15:00,0,-8.2935,0
5/22/15,15:30:00,0,-8.2935,0
5/22/15,15:45:00,0,-8.2948,0
5/22/15,16:00:00,0,-8.2962,0
5/22/15,16:15:00,0,-8.2942,0
5/22/15,16:30:00,0,-8.2946,0
5/22/15,16:45:00,0,-8.2958,0
5/22/15,17:00:00,0,-8.2967,0
5/22/15,17:15:00,0,-8.2991,0
5/22/15,17:30:00,0,-8.2996,0
5/22/15,17:45:00,0,-8.2992,0
5/22/15,18:00:00,0,-8.2993,0
5/22/15,18:15:00,0,-8.2984,0
5/22/15,18:30:00,0,-8.3012,0
5/22/15,18:45:00,0,-8.2985,0
5/22/15,19:00:00,0,-8.299,0
5/22/15,19:15:00,0,-8.2931,0
5/22/15,19:30:00,0,-8.2925,0
5/22/15,19:45:00,0,-8.2918,0
5/22/15,20:00:00,0,-8.2893,0
5/22/15,20:15:00,0,-8.2885,0
5/22/15,20:30:00,0,-8.2901,0
5/22/15,20:45:00,0,-8.2894,0
5/22/15,21:00:00,0,-8.2923,0
5/22/15,21:15:00,0,-8.2915,0
5/22/15,21:30:00,0,-8.2915,0
5/22/15,21:45:00,0,-8.2887,0
5/22/15,22:00:00,0,-8.2873,0
5/22/15,22:15:00,0,-8.2873,0
5/22/15,22:30:00,0,-8.2866,0
5/22/15,22:45:00,0,-8.2861,0
5/22/15,23:00:00,0,-8.2841,0
5/22/15,23:15:00,0,-8.2859,0
5/22/15,23:30:00,0,-8.2848,0
5/22/15,23:45:00,0,-8.2889,0
5/23/15,0:00:00,0,-8.2885,0
5/23/15,0:15:00,0,-8.29,0
5/23/15,0:30:00,0,-8.2905,0
5/23/15,0:45:00,0,-8.2901,0
5/23/15,1:00:00,0,-8.2888,0
5/23/15,1:15:00,0,-8.2895,0
5/23/15,1:30:00,0,-8.2866,0
5/23/15,1:45:00,0,-8.2817,0
5/23/15,2:00:00,0,-8.2803,0
5/23/15,2:15:00,0,-8.2775,0
5/23/15,2:30:00,0,-8.2758,0
5/23/15,2:45:00,0,-8.268,0
5/23/15,3:00:00,0,-8.2623,0
5/23/15,3:15:00,0,-8.2564,0
5/23/15,3:30:00,0,-8.2539,0
5/23/15,3:45:00,0,-8.2479,0
5/23/15,4:00:00,0,-8.2449,0
5/23/15,4:15:00,0,-8.2398,0
5/23/15,4:30:00,0,-8.2337,0
5/23/15,4:45:00,0,-8.2295,0
5/23/15,5:00:00,0,-8.2239,0
5/23/15,5:15:00,0,-8.2188,0
5/23/15,5:30:00,0,-8.2134,0
5/23/15,5:45:00,0,-8.2078,0
5/23/15,6:00:00,0,-8.2022,0
5/23/15,6:15:00,0,-8.1982,0
5/23/15,6:30:00,0,-8.1927,0
5/23/15,6:45:00,0,-8.1911,0
5/23/15,7:00:00,0,-8.1879,0
5/23/15,7:15:00,0,-8.1852,0
5/23/15,7:30:00,0,-8.1819,0
5/23/15,7:45:00,0,-8.1762,0
5/23/15,8:00:00,0,-8.1755,0
5/23/15,8:15:00,0,-8.1686,0
5/23/15,8:30:00,0,-8.1643,0
5/23/15,8:45:00,0,-8.1587,0
5/23/15,9:00:00,0,-8.154,0
5/23/15,9:15:00,0,-8.1527,0
5/23/15,9:30:00,0,-8.1479,0
5/23/15,9:45:00,0,-8.1455,0
5/23/15,10:00:00,0,-8.1473,0
5/23/15,10:15:00,0,-8.1421,0
5/23/15,10:30:00,0,-8.1385,0
5/23/15,10:45:00,0,-8.1407,0
5/23/15,11:00:00,0,-8.1403,0
5/23/15,11:15:00,0,-8.1399,0
5/23/15,11:30:00,0,-8.1413,0
5/23/15,11:45:00,0,-8.1429,0
5/23/15,12:00:00,0,-8.1426,0
5/23/15,12:15:00,0,-8.1407,0
5/23/15,12:30:00,0,-8.1367,0
5/23/15,12:45:00,0,-8.1377,0
5/23/15,13:00:00,0,-8.1373,0
5/23/15,13:15:00,0,-8.1356,0
5/23/15,13:30:00,0,-8.1355,0
5/23/15,13:45:00,0,-8.1353,0
5/23/15,14:00:00,0,-8.1367,0
5/23/15,14:15:00,0,-8.1392,0
5/23/15,14:30:00,0,-8.1393,0
5/23/15,14:45:00,0,-8.1413,0
5/23/15,15:00:00,0,-8.141,0
5/23/15,15:15:00,0,-8.1426,0
5/23/15,15:30:00,0,-8.1406,0
5/23/15,15:45:00,0,-8.1425,0
5/23/15,16:00:00,0,-8.146,0
5/23/15,16:15:00,0,-8.1454,0
5/23/15,16:30:00,0,-8.1423,0
5/23/15,16:45:00,0,-8.1398,0
5/23/15,17:00:00,0,-8.1353,0
5/23/15,17:15:00,0,-8.1341,0
5/23/15,17:30:00,0,-8.1354,0
5/23/15,17:45:00,0,-8.1314,0
5/23/15,18:00:00,0,-8.1242,0
5/23/15,18:15:00,0,-8.1202,0
5/23/15,18:30:00,0,-8.1158,0
5/23/15,18:45:00,0,-8.1182,0
5/23/15,19:00:00,0,-8.1188,0
5/23/15,19:15:00,0,-8.1138,0
5/23/15,19:30:00,0,-8.109,0
5/23/15,19:45:00,0,-8.1089,0
5/23/15,20:00:00,0,-8.1033,0
5/23/15,20:15:00,0,-8.0991,0
5/23/15,20:30:00,0,-8.1,0
5/23/15,20:45:00,0,-8.099,0
5/23/15,21:00:00,0,-8.1008,0
5/23/15,21:15:00,0,-8.1044,0
5/23/15,21:30:00,0,-8.1075,0
5/23/15,21:45:00,0,-8.1067,0
5/23/15,22:00:00,0,-8.1123,0
5/23/15,22:15:00,0,-8.113,0
5/23/15,22:30:00,0,-8.116,0
5/23/15,22:45:00,0,-8.1192,0
5/23/15,23:00:00,0,-8.1213,0
5/23/15,23:15:00,0,-8.1213,0
5/23/15,23:30:00,0,-8.1289,0
5/23/15,23:45:00,0,-8.1283,0
5/24/15,0:00:00,0,-8.1274,0
5/24/15,0:15:00,0,-8.1305,0
5/24/15,0:30:00,0,-8.1343,0
5/24/15,0:45:00,0,-8.1303,0
5/24/15,1:00:00,0,-8.1334,0
5/24/15,1:15:00,0,-8.1337,0
5/24/15,1:30:00,0,-8.1364,0
5/24/15,1:45:00,0,-8.1372,0
5/24/15,2:00:00,0,-8.1365,0
5/24/15,2:15:00,0,-8.1396,0
5/24/15,2:30:00,0,-8.1393,0
5/24/15,2:45:00,0,-8.1379,0
5/24/15,3:00:00,0,-8.1422,0
5/24/15,3:15:00,0,-8.1403,0
5/24/15,3:30:00,0,-8.142,0
5/24/15,3:45:00,0,-8.142,0
5/24/15,4:00:00,0,-8.1459,0
5/24/15,4:15:00,0,-8.1424,0
5/24/15,4:30:00,0,-8.14,0
5/24/15,4:45:00,0,-8.1403,0
5/24/15,5:00:00,0,-8.1406,0
5/24/15,5:15:00,0,-8.1387,0
5/24/15,5:30:00,0,-8.1382,0
5/24/15,5:45:00,0,-8.1392,0
5/24/15,6:00:00,0,-8.1415,0
5/24/15,6:15:00,0,-8.1395,0
5/24/15,6:30:00,0,-8.139,0
5/24/15,6:45:00,0,-8.1433,0
5/24/15,7:00:00,0,-8.1439,0
5/24/15,7:15:00,0,-8.1463,0
5/24/15,7:30:00,0,-8.1464,0
5/24/15,7:45:00,0,-8.1497,0
5/24/15,8:00:00,0,-8.1499,0
5/24/15,8:15:00,0,-8.1513,0
5/24/15,8:30:00,0,-8.1552,0
5/24/15,8:45:00,0,-8.1559,0
5/24/15,9:00:00,0,-8.1582,0
5/24/15,9:15:00,0,-8.1625,0
5/24/15,9:30:00,0,-8.1647,0
5/24/15,9:45:00,0,-8.1646,0
5/24/15,10:00:00,0,-8.1688,0
5/24/15,10:15:00,0,-8.169,0
5/24/15,10:30:00,0,-8.1745,0
5/24/15,10:45:00,0,-8.1814,0
5/24/15,11:00:00,0,-8.1895,0
5/24/15,11:15:00,0,-8.1895,0
5/24/15,11:30:00,0,-8.1913,0
5/24/15,11:45:00,0,-8.1936,0
5/24/15,12:00:00,0,-8.1962,0
5/24/15,12:15:00,0,-8.1938,0
5/24/15,12:30:00,0,-8.1971,0
5/24/15,12:45:00,0,-8.1974,0
5/24/15,13:00:00,0,-8.1984,0
5/24/15,13:15:00,0,-8.1995,0
5/24/15,13:30:00,0,-8.2029,0
5/24/15,13:45:00,0,-8.2033,0
5/24/15,14:00:00,0,-8.2076,0
5/24/15,14:15:00,0,-8.2067,0
5/24/15,14:30:00,0,-8.2112,0
5/24/15,14:45:00,0,-8.2127,0
5/24/15,15:00:00,0,-8.2124,0
5/24/15,15:15:00,0,-8.2161,0
5/24/15,15:30:00,0,-8.2164,0
5/24/15,15:45:00,0,-8.2179,0
5/24/15,16:00:00,0,-8.2201,0
5/24/15,16:15:00,0,-8.2164,0
5/24/15,16:30:00,0,-8.2212,0
5/24/15,16:45:00,0,-8.224,0
5/24/15,17:00:00,0,-8.2222,0
5/24/15,17:15:00,0,-8.2221,0
5/24/15,17:30:00,0,-8.2262,0
5/24/15,17:45:00,0,-8.2265,0
5/24/15,18:00:00,0,-8.2281,0
5/24/15,18:15:00,0,-8.229,0
5/24/15,18:30:00,0,-8.2292,0
5/24/15,18:45:00,0,-8.2301,0
5/24/15,19:00:00,0,-8.2314,0
5/24/15,19:15:00,0,-8.236,0
5/24/15,19:30:00,0,-8.2338,0
5/24/15,19:45:00,0,-8.235,0
5/24/15,20:00:00,0,-8.2352,0
5/24/15,20:15:00,0,-8.2356,0
5/24/15,20:30:00,0,-8.2374,0
5/24/15,20:45:00,0,-8.2397,0
5/24/15,21:00:00,0,-8.2384,0
5/24/15,21:15:00,0,-8.2391,0
5/24/15,21:30:00,0,-8.2399,0
5/24/15,21:45:00,0,-8.2398,0
5/24/15,22:00:00,0,-8.2436,0
5/24/15,22:15:00,0,-8.243,0
5/24/15,22:30:00,0,-8.2408,0
5/24/15,22:45:00,0,-8.2399,0
5/24/15,23:00:00,0,-8.2395,0
5/24/15,23:15:00,0,-8.2428,0
5/24/15,23:30:00,0,-8.2428,0
5/24/15,23:45:00,0,-8.2415,0
5/25/15,0:00:00,0,-8.2407,0
5/25/15,0:15:00,0,-8.2411,0
5/25/15,0:30:00,0,-8.2399,0
5/25/15,0:45:00,0,-8.2377,0
5/25/15,1:00:00,0,-8.2368,0
5/25/15,1:15:00,0,-8.2351,0
5/25/15,1:30:00,0,-8.2368,0
5/25/15,1:45:00,0,-8.2394,0
5/25/15,2:00:00,0,-8.2395,0
5/25/15,2:15:00,0,-8.2432,0
5/25/15,2:30:00,0,-8.243,0
5/25/15,2:45:00,0,-8.2461,0
5/25/15,3:00:00,0,-8.2489,0
5/25/15,3:15:00,0,-8.2501,0
5/25/15,3:30:00,0,-8.2523,0
5/25/15,3:45:00,0,-8.2513,0
5/25/15,4:00:00,0,-8.2541,0
5/25/15,4:15:00,0,-8.2542,0
5/25/15,4:30:00,0,-8.2545,0
5/25/15,4:45:00,0,-8.2544,0
5/25/15,5:00:00,0,-8.2565,0
5/25/15,5:15:00,0,-8.2558,0
5/25/15,5:30:00,0,-8.259,0
5/25/15,5:45:00,0,-8.2597,0
5/25/15,6:00:00,0,-8.2621,0
5/25/15,6:15:00,0,-8.2616,0
5/25/15,6:30:00,0,-8.2595,0
5/25/15,6:45:00,0,-8.263,0
5/25/15,7:00:00,0,-8.261,0
5/25/15,7:15:00,0,-8.2637,0
5/25/15,7:30:00,0,-8.2626,0
5/25/15,7:45:00,0,-8.2647,0
5/25/15,8:00:00,0,-8.2664,0
5/25/15,8:15:00,0,-8.2664,0
5/25/15,8:30:00,0,-8.269,0
5/25/15,8:45:00,0,-8.2661,0
5/25/15,9:00:00,0,-8.2715,0
5/25/15,9:15:00,0,-8.271,0
5/25/15,9:30:00,0,-8.2719,0
5/25/15,9:45:00,0,-8.2741,0
5/25/15,10:00:00,0,-8.2729,0
5/25/15,10:15:00,0,-8.2744,0
5/25/15,10:30:00,0,-8.273,0
5/25/15,10:45:00,0,-8.2744,0
5/25/15,11:00:00,0,-8.2759,0
5/25/15,11:15:00,0,-8.2761,0
5/25/15,11:30:00,0,-8.2781,0
5/25/15,11:45:00,0,-8.2753,0
5/25/15,12:00:00,0,-8.2781,0
5/25/15,12:15:00,0,-8.2762,0
5/25/15,12:30:00,0,-8.2778,0
5/25/15,12:45:00,0,-8.2774,0
5/25/15,13:00:00,0,-8.2757,0
5/25/15,13:15:00,0,-8.2785,0
5/25/15,13:30:00,0,-8.2778,0
5/25/15,13:45:00,0,-8.2796,0
5/25/15,14:00:00,0,-8.2787,0
5/25/15,14:15:00,0,-8.2794,0
5/25/15,14:30:00,0,-8.2783,0
5/25/15,14:45:00,0,-8.2797,0
5/25/15,15:00:00,0,-8.2799,0
5/25/15,15:15:00,0,-8.2825,0
5/25/15,15:30:00,0,-8.2786,0
5/25/15,15:45:00,0,-8.2822,0
5/25/15,16:00:00,0,-8.2777,0
5/25/15,16:15:00,0,-8.2814,0
5/25/15,16:30:00,0,-8.2794,0
5/25/15,16:45:00,0,-8.2811,0
5/25/15,17:00:00,0,-8.2794,0
5/25/15,17:15:00,0,-8.2855,0
5/25/15,17:30:00,0,-8.2828,0
5/25/15,17:45:00,0,-8.283,0
5/25/15,18:00:00,0,-8.283,0
5/25/15,18:15:00,0,-8.2847,0
5/25/15,18:30:00,0,-8.2843,0
5/25/15,18:45:00,0,-8.2876,0
5/25/15,19:00:00,0,-8.2867,0
5/25/15,19:15:00,0,-8.2875,0
5/25/15,19:30:00,0,-8.2862,0
5/25/15,19:45:00,0,-8.2873,0
5/25/15,20:00:00,0,-8.2881,0
5/25/15,20:15:00,0,-8.2882,0
5/25/15,20:30:00,0,-8.2888,0
5/25/15,20:45:00,0,-8.2913,0
5/25/15,21:00:00,0,-8.2903,0
